target_lang,sentences_count,avg_subwords_src,avg_subwords_tgt,total_subwords_src,total_subwords_tgt
bg,883043,19.19702664536155,27.53336813722548,17061,11598
hr,859222,10.505706325024265,11.295754764193655,16071,13515
cs,907020,28.267080108487132,37.666485854777186,17203,16122
da,956012,28.716527616808158,35.930577231248144,16124,14297
nl,953529,28.797549943420705,38.099855379332986,16111,14081
et,901409,25.420179962702836,32.812595614199545,17129,15134
fi,952639,28.729208021086688,37.4526363081923,16116,13324
fr,948114,28.56189340100452,38.755312124913246,16084,12937
de,953686,28.861246783532525,40.47459541190706,16116,14094
el,944312,29.213830810155965,46.09601381746711,16145,11424
hu,898698,24.875705743197383,36.84031231848741,17198,15453
ga,508612,18.55463103505226,29.968457291609322,14698,10409
it,952937,30.042905249769923,37.97157104824348,16161,13380
lv,897137,25.64362856509095,34.02434856660688,17063,14993
lt,889446,25.557109706491456,33.5081016722769,17051,15019
mt,711313,25.26901378155608,40.81484100529584,16909,18792
pl,897740,26.051830151268742,36.93835743088199,17225,15784
pt,949368,28.883782684901956,37.843326297073425,16117,13453
ro,873435,20.62854362373846,29.105405668424094,17217,15466
sk,903378,25.383469599658174,33.93091817600163,17191,16469
sl,898769,25.06715629933832,32.569802696799734,17152,15405
es,948738,28.714629328645,37.43379310199444,16115,13390
sv,951581,28.667588991373304,35.00256625552633,16094,14221
sq,830324,9.66119852009577,12.545148640771554,15577,12511
ar,870635,20.37087987503374,33.74493903874758,17112,6712
az,687365,22.020065030951532,30.23010191092069,9553,3604
bs,855939,10.338154938611279,11.22370869886756,15985,13409
ka,836864,9.876019281508107,14.428319296803304,13582,3148
he,849537,10.571950368259417,13.751729471465046,15808,6385
is,852633,9.892102463779844,12.10165217625872,15414,10274
mk,847255,10.045204808469705,12.312441944869018,15717,6568
no,869521,10.553609401038043,10.362486932460516,15736,12962
ru,882402,20.701773114748153,32.024210053921,17252,10098
sr,861464,10.377675677683571,11.539739327470446,16013,14640
tr,852206,10.274283447898748,12.818867738551477,16376,12355
uk,836180,9.92672032337535,13.674912100265493,15296,7825
